,cate,salary
0,1,130769
1,4,65000
2,1,77500
3,0,60000
4,3,45000
5,4,87500
6,0,60000
7,0,60000
8,0,60000
9,4,87500
10,3,80000
11,1,80000
12,0,80000
13,4,100000
14,1,130769
15,4,65000
16,1,77500
17,0,60000
18,3,45000
19,4,87500
20,0,60000
21,0,60000
22,0,60000
23,4,87500
24,3,61923
25,3,61923
26,2,38000
27,4,115384
28,3,115384
29,3,96153
30,3,115384
31,3,115384
32,2,61538
33,3,55000
34,3,60000
35,3,60000
36,3,60000
37,3,87500
38,3,82500
39,0,60000
40,0,80000
41,3,100000
42,3,60000
43,3,60000
44,3,60000
45,3,87500
46,3,82500
47,0,60000
48,0,80000
49,3,100000
50,3,60000
51,3,60000
52,3,60000
53,3,87500
54,3,82500
55,0,60000
56,0,80000
57,3,100000
58,3,60000
59,3,60000
60,3,60000
61,3,87500
62,3,82500
63,0,60000
64,0,80000
65,3,100000
66,0,70000
67,0,60000
68,1,35000
69,0,70000
70,0,60000
71,1,35000
72,0,70000
73,0,60000
74,1,35000
75,0,70000
76,0,60000
77,1,35000
78,0,70000
79,0,60000
80,1,35000
81,0,70000
82,3,92307
83,1,269230
84,3,65000
85,3,50000
86,0,92500
87,0,95000
88,3,100000
89,0,82500
90,1,50000
91,3,92307
92,1,269230
93,3,65000
94,3,50000
95,0,92500
96,0,95000
97,3,100000
98,0,82500
99,1,50000
100,3,92307
101,1,269230
102,3,65000
103,3,50000
104,3,47000
105,3,28000
106,1,60000
107,3,80000
108,3,86500
109,3,107692
110,1,60000
111,3,80000
112,3,86500
113,3,107692
114,1,60000
115,3,80000
116,3,86500
117,3,107692
118,1,60000
119,3,80000
120,3,86500
121,3,107692
122,1,60000
123,3,80000
124,3,86500
125,3,107692
126,1,47500
127,1,80769
128,3,50000
129,4,50000
130,3,85000
131,2,87500
132,3,60000
133,4,80000
134,3,95000
135,3,85000
136,2,87500
137,3,60000
138,4,80000
139,3,95000
140,3,85000
141,2,87500
142,3,60000
143,4,80000
144,3,95000
145,3,85000
146,2,87500
147,3,60000
148,4,80000
149,3,95000
150,3,85000
151,2,87500
152,3,60000
153,4,80000
154,3,95000
155,3,85000
156,2,87500
157,3,60000
158,4,80000
159,3,95000
160,3,85000
161,2,87500
162,3,60000
163,4,80000
164,3,95000
165,3,192307
166,3,192307
167,4,115384
168,2,43000
169,3,100000
170,3,86538
171,1,42000
172,1,86538
173,1,130769
174,1,59500
175,4,35000
176,3,55000
177,4,35000
178,3,55000
179,3,60000
180,3,60000
181,4,62500
182,4,62500
183,3,41000
184,1,50000
185,0,34000
186,0,45000
187,4,46500
188,3,45000
189,3,45000
190,3,45000
191,0,44000
192,2,31000
193,3,52500
194,1,47500
195,3,80000
196,0,60000
197,4,62500
198,3,114000
199,1,58000
200,2,45000
201,3,70000
202,0,80000
203,2,75000
204,3,65000
205,2,60000
206,3,57500
207,3,50000
208,3,52500
209,1,90000
210,3,92307
211,3,50000
212,3,48000
213,3,32000
214,3,32000
215,3,60000
216,2,38500
217,0,50000
218,1,63328
219,2,38500
220,0,50000
221,1,63328
222,2,38500
223,0,50000
224,1,63328
225,1,80000
226,2,40500
227,2,60000
228,4,60000
229,2,40000
230,3,51500
231,3,150000
232,2,33500
233,3,50000
234,0,50000
235,0,38500
236,0,50000
237,1,55000
238,1,115384
239,3,45000
240,1,37000
241,3,100000
242,3,100000
243,3,100000
244,2,40000
245,0,38000
246,1,65000
247,3,100000
248,3,85000
249,1,30000
250,3,55000
251,0,40000
252,1,65000
253,3,72500
254,3,28000
255,3,28000
256,4,100000
257,1,61000
258,1,80000
259,1,38500
260,1,48500
261,3,65000
262,1,65000
263,3,72500
264,3,28000
265,3,28000
266,4,100000
267,1,61000
268,1,80000
269,1,38500
270,1,48500
271,0,45000
272,3,41500
273,1,39000
274,1,58000
275,4,90000
276,1,51500
277,3,80000
278,3,50000
279,3,55000
280,2,50000
281,4,50000
282,3,55000
283,2,70000
284,3,65000
285,3,48500
286,0,50000
287,2,35000
288,1,33500
289,2,42500
290,0,47500
291,1,57500
292,4,70000
293,3,40000
294,3,60000
295,3,50000
296,1,60000
297,3,60000
298,0,60000
299,0,60000
300,0,60000
301,0,80000
302,3,47500
303,3,45000
304,3,75000
305,3,107692
306,3,82500
307,3,75000
308,3,60000
309,3,60000
310,3,75000
311,3,52500
312,1,62500
313,1,47500
314,1,125000
315,1,85000
316,0,85000
317,1,46500
318,3,173076
319,3,173076
320,3,70000
321,3,92307
322,2,63461
323,1,65000
324,3,50000
325,1,44000
326,1,46500
327,0,72500
328,3,44000
329,3,45000
330,3,80000
331,3,85000
332,3,72500
333,1,72500
334,1,115384
335,2,42500
336,2,42500
337,2,42500
338,3,44000
339,3,45000
340,0,50000
341,0,50000
342,1,71000
343,3,37500
344,1,80000
345,0,80000
346,1,60000
347,0,80769
348,3,31500
349,3,44000
350,3,42500
351,3,38500
352,2,31000
353,1,50000
354,2,76923
355,2,65000
356,2,40000
357,1,115384
358,3,44000
359,3,42500
360,3,113100
361,2,33000
362,3,65000
363,1,40000
364,1,60000
365,1,54000
366,2,34998
367,3,35000
368,2,26000
369,3,42500
370,3,44000
371,3,42500
372,2,30125
373,1,40000
374,1,33500
375,1,67500
376,1,55000
377,3,39000
378,0,155000
379,2,47500
380,3,70000
381,0,107692
382,4,1500000
383,3,130769
384,3,80000
385,0,80000
386,1,80000
387,0,88461
388,1,58000
389,3,57500
390,3,96153
391,3,40000
392,3,40000
393,3,55000
394,1,35000
395,3,52500
396,3,57500
397,3,53000
398,3,40000
399,3,40000
400,3,55000
401,1,35000
402,3,52500
403,3,57500
404,3,53000
405,3,40000
406,3,40000
407,3,50000
408,3,60000
409,3,60000
410,4,76923
411,4,55000
412,4,60000
413,4,45000
414,4,50000
415,4,55000
416,3,50000
417,3,115384
418,1,70000
419,3,40000
420,1,50000
421,1,76923
422,3,50000
423,3,60000
424,3,60000
425,4,76923
426,4,55000
427,4,60000
428,4,45000
429,4,50000
430,4,55000
431,3,50000
432,3,115384
433,1,70000
434,3,40000
435,1,50000
436,1,76923
437,3,50000
438,3,60000
439,3,60000
