,序號,tool,category
1,1,C,4
1,1,C++,4
1,1,DirectX,4
6,10,Linux,4
6,10,C++,4
6,10,Socket,4
11,18,Linux,4
11,18,C++,4
11,18,Socket,4
16,27,Linux,4
16,27,C++,4
16,27,Socket,4
20,31,C,4
20,31,C++,4
20,31,DirectX,4
25,40,Linux,4
25,40,C++,4
25,40,Socket,4
30,48,Linux,4
30,48,C++,4
30,48,Socket,4
39,65,C++,4
39,65,Python,4
45,72,C,4
45,72,C#,4
45,72,Java,4
51,80,C++,4
51,80,Python,4
68,110,C++,4
68,110,Python,4
85,140,C++,4
85,140,Python,4
102,170,C++,4
102,170,Python,4
209,370,C,4
209,370,C#,4
209,370,Java,4
225,400,C,4
225,400,C#,4
225,400,Java,4
328,593,C,4
328,593,C#,4
328,593,C++,4
328,593,MFC,4
330,595,Linux,4
330,595,C,4
330,595,C++,4
331,596,Linux,4
331,596,MCU,4
331,596,C,4
331,596,C++,4
331,596,Java,4
342,617,C,4
342,617,Python,4
354,648,C,4
354,648,Python,4
366,679,C,4
366,679,Python,4
378,710,C,4
378,710,Python,4
390,741,C,4
390,741,Python,4
402,772,C,4
402,772,Python,4
414,803,C,4
414,803,Python,4
419,824,C++,4
419,824,Python,4
426,854,C++,4
426,854,Python,4
433,884,C++,4
433,884,Python,4
436,892,C,4
436,892,C++,4
442,908,C,4
442,908,C++,4
442,908,VisualStudio,4
442,908,MSSQL,4
442,908,XML,4
442,908,中文打字20~50,4
442,908,英文打字20~50,4
444,912,Linux,4
444,912,C,4
455,939,C,4
455,939,C++,4
457,941,Linux,4
457,941,Git,4
457,941,C,4
457,941,C++,4
467,966,Git,4
467,966,C,4
467,966,C++,4
467,966,Python,4
468,969,C,4
468,969,C++,4
470,971,Linux,4
470,971,Git,4
470,971,C,4
470,971,C++,4
477,993,C,4
477,993,C++,4
477,993,Java,4
477,993,Objective-C,4
477,993,Unity3D,4
482,1009,Linux,4
482,1009,C,4
482,1009,C++,4
484,1013,Linux,4
484,1013,C#,4
484,1013,C++,4
484,1013,Python,4
490,1022,Windows2000,4
490,1022,WindowsNT,4
490,1022,OOP,4
490,1022,ASP.NET,4
490,1022,C,4
490,1022,C#,4
490,1022,C++,4
490,1022,Delphi,4
490,1022,VisualBasic,4
490,1022,VisualC#,4
490,1022,MSSQL,4
490,1022,Outlook,4
490,1022,Word,4
496,1039,Linux,4
496,1039,C,4
496,1039,C++,4
498,1043,Linux,4
498,1043,C#,4
498,1043,C++,4
498,1043,Python,4
504,1052,Windows2000,4
504,1052,WindowsNT,4
504,1052,OOP,4
504,1052,ASP.NET,4
504,1052,C,4
504,1052,C#,4
504,1052,C++,4
504,1052,Delphi,4
504,1052,VisualBasic,4
504,1052,VisualC#,4
504,1052,MSSQL,4
504,1052,Outlook,4
504,1052,Word,4
512,1069,Linux,4
512,1069,MCU,4
512,1069,C,4
512,1069,C++,4
512,1069,Python,4
512,1069,MySQL,4
512,1069,HTML,4
512,1069,JavaScript,4
512,1069,CSS,4
512,1069,ADC,4
512,1069,ARM,4
512,1069,Assembly,4
512,1069,CircuitDesign,4
512,1069,Firmware,4
513,1070,Linux,4
513,1070,ASP,4
513,1070,C,4
513,1070,C++,4
513,1070,RPG,4
513,1070,ADC,4
513,1070,ARM,4
513,1070,Assembly,4
513,1070,CircuitDesign,4
513,1070,DSP,4
513,1070,Firmware,4
513,1070,FPGA,4
513,1070,Protel,4
546,1127,Linux,4
546,1127,C++,4
546,1127,PHP,4
547,1130,C,4
547,1130,C++,4
547,1130,Python,4
553,1141,C,4
553,1141,C++,4
554,1142,C,4
554,1142,C++,4
577,1172,C#,4
577,1172,C++,4
577,1172,Python,4
578,1173,C,4
578,1173,C#,4
578,1173,C++,4
589,1186,C,4
589,1186,C++,4
600,1201,C,4
600,1201,C++,4
600,1201,Python,4
601,1202,C,4
601,1202,C++,4
601,1202,Python,4
603,1204,C,4
603,1204,C++,4
603,1204,Python,4
604,1205,C,4
604,1205,C++,4
604,1205,Python,4
606,1210,Linux,4
606,1210,Android,4
606,1210,C,4
606,1210,C++,4
606,1210,Java,4
607,1211,Android,4
607,1211,C,4
607,1211,C++,4
607,1211,Java,4
611,1223,C,4
611,1223,C++,4
613,1228,Linux,4
613,1228,C,4
613,1228,C++,4
613,1228,Python,4
613,1228,TCP/IP,4
614,1229,Linux,4
614,1229,C,4
614,1229,C++,4
614,1229,Java,4
614,1229,Python,4
614,1229,HTML,4
614,1229,ARM,4
615,1230,C,4
615,1230,C++,4
615,1230,Java,4
619,1240,Linux,4
619,1240,Android,4
619,1240,C,4
619,1240,C++,4
619,1240,Java,4
620,1241,Android,4
620,1241,C,4
620,1241,C++,4
620,1241,Java,4
624,1252,C++,4
624,1252,Python,4
630,1268,Linux,4
630,1268,C,4
630,1268,C++,4
630,1268,Python,4
636,1285,Android,4
636,1285,C,4
636,1285,C++,4
639,1290,Linux,4
639,1290,C,4
641,1292,Shell,4
641,1292,C,4
641,1292,C++,4
642,1296,C,4
642,1296,C#,4
642,1296,C++,4
642,1296,Java,4
643,1298,Linux,4
643,1298,C,4
643,1298,C++,4
643,1298,Python,4
649,1315,Android,4
649,1315,C,4
649,1315,C++,4
652,1320,Linux,4
652,1320,C,4
654,1322,Shell,4
654,1322,C,4
654,1322,C++,4
655,1326,C,4
655,1326,C#,4
655,1326,C++,4
655,1326,Java,4
656,1328,Linux,4
656,1328,C,4
656,1328,C++,4
656,1328,Python,4
662,1345,Android,4
662,1345,C,4
662,1345,C++,4
665,1350,Linux,4
665,1350,C,4
669,1356,Linux,4
669,1356,ASP.NET,4
669,1356,C,4
669,1356,C#,4
669,1356,C++,4
669,1356,VisualC#,4
669,1356,MSSQL,4
669,1356,Vmware,4
669,1356,XMLWebservices,4
669,1356,jQuery,4
670,1357,Linux,4
670,1357,C,4
670,1357,C++,4
671,1358,C,4
671,1358,C++,4
671,1358,ARM,4
685,1385,Linux,4
685,1385,ASP.NET,4
685,1385,C,4
685,1385,C#,4
685,1385,C++,4
685,1385,VisualC#,4
685,1385,MSSQL,4
685,1385,Vmware,4
685,1385,XMLWebservices,4
685,1385,jQuery,4
686,1387,Linux,4
686,1387,MCU,4
686,1387,C,4
686,1387,C++,4
689,1395,Linux,4
689,1395,WindowsNT,4
689,1395,C,4
689,1395,C++,4
689,1395,PLC,4
690,1397,MCU,4
690,1397,C,4
690,1397,JavaScript,4
691,1398,MCU,4
691,1398,C,4
691,1398,Python,4
691,1398,JavaScript,4
691,1398,CSS,4
691,1398,Node.js,4
691,1398,ReactNative,4
691,1398,ReactJS,4
692,1399,MCU,4
692,1399,C,4
692,1399,JavaScript,4
693,1401,C,4
693,1401,C++,4
693,1401,Python,4
694,1405,C++,4
694,1405,Python,4
697,1410,Linux,4
697,1410,C++,4
731,1465,MCU,4
731,1465,C,4
731,1465,C#,4
731,1465,C++,4
731,1465,ARM,4
738,1477,C,4
738,1477,C++,4
750,1495,MCU,4
750,1495,C,4
750,1495,C#,4
750,1495,C++,4
750,1495,ARM,4
757,1507,C,4
757,1507,C++,4
762,1515,C,4
762,1515,C++,4
777,1550,Linux,4
777,1550,C,4
777,1550,C++,4
785,1568,C,4
785,1568,C++,4
785,1568,Python,4
786,1569,Linux,4
786,1569,C,4
786,1569,C++,4
788,1573,Linux,4
788,1573,C,4
788,1573,C#,4
788,1573,C++,4
788,1573,Python,4
788,1573,VisualBasic,4
788,1573,VisualBasic.net,4
788,1573,MSSQL,4
788,1573,MySQL,4
788,1573,XMLWebservices,4
789,1574,Android,4
789,1574,C,4
789,1574,C#,4
789,1574,C++,4
789,1574,Java,4
789,1574,Python,4
789,1574,VisualC++,4
789,1574,JavaScript,4
792,1578,C,4
792,1578,C#,4
792,1578,C++,4
804,1598,C,4
804,1598,C#,4
804,1598,C++,4
804,1598,VisualBasic,4
807,1602,Android,4
807,1602,iOS,4
807,1602,C,4
807,1602,C#,4
807,1602,C++,4
807,1602,Java,4
817,1627,C,4
817,1627,C#,4
817,1627,C++,4
817,1627,C++.Net,4
817,1627,Delphi,4
827,1640,C,4
827,1640,C++,4
827,1640,VisualStudio,4
827,1640,MSSQL,4
827,1640,XML,4
994,1936,C,4
994,1936,C++,4
994,1936,Go,4
1002,1948,C,4
1002,1948,C++,4
1002,1948,VisualBasic,4
1002,1948,Oracle,4
1002,1948,DHTML,4
1002,1948,HTML,4
1002,1948,JavaScript,4
1002,1948,XML,4
