,序號,tool,category
0,0,"['Git', 'C++', 'Java', 'HTML', 'JavaScript', 'jQuery', 'CSS', 'Sass', 'VueJS', 'Angular']",1
1,1,"['C', 'C++', 'DirectX']",4
2,2,"['Git', 'AJAX', 'HTML', 'JavaScript', 'CSS', 'Node.js', 'ReactJS', 'Redux']",1
3,6,"['Java', 'JSP', 'Spring', 'Struts', 'MSSQL', 'MySQL', 'WebLogic', 'J2EE', 'JavaScript', 'XML', 'jQuery']",1
4,8,"['UNIX', 'Github', 'Python', 'MySQL', 'JavaScript', 'Node.js']",0
5,9,"['Windows10', 'WindowsServer2019', 'ASP', 'ASP.NET', 'C#', 'Java', 'JSP', 'JDBC', 'MSSQL', 'Tomcat', 'IIS', 'Visio', 'Word']",3
6,10,"['Linux', 'C++', 'Socket']",4
7,13,"['UNIX', 'Github', 'Python', 'MySQL', 'JavaScript', 'Node.js']",0
8,14,"['UNIX', 'PHP', 'Python', 'MySQL', 'JavaScript']",0
9,15,"['Linux', 'UNIX', 'PHP', 'Python', 'MySQL', 'JavaScript']",0
10,16,"['Excel', 'Project', 'Visio', 'Word']",2
11,18,"['Linux', 'C++', 'Socket']",4
12,21,"['Excel', 'PowerPoint', 'Word']",2
13,22,"['Git', 'C#', 'Java', 'Python', 'Node.js']",3
14,24,"['AWS', 'HTML', 'JavaScript', 'CSS', 'Node.js', 'VueJS', 'Angular']",1
15,25,"['Git', 'Python', 'AWS', 'Node.js']",0
16,27,"['Linux', 'C++', 'Socket']",4
17,28,"['Shell', 'UNIX', 'Java', 'Oracle', 'PL/SQL']",3
18,29,['AxureRP'],3
19,30,"['Git', 'C++', 'Java', 'HTML', 'JavaScript', 'jQuery', 'CSS', 'Sass', 'VueJS', 'Angular']",1
20,31,"['C', 'C++', 'DirectX']",4
21,32,"['Git', 'AJAX', 'HTML', 'JavaScript', 'CSS', 'Node.js', 'ReactJS', 'Redux']",1
22,36,"['Java', 'JSP', 'Spring', 'Struts', 'MSSQL', 'MySQL', 'WebLogic', 'J2EE', 'JavaScript', 'XML', 'jQuery']",1
23,38,"['UNIX', 'Github', 'Python', 'MySQL', 'JavaScript', 'Node.js']",0
24,39,"['Windows10', 'WindowsServer2019', 'ASP', 'ASP.NET', 'C#', 'Java', 'JSP', 'JDBC', 'MSSQL', 'Tomcat', 'IIS', 'Visio', 'Word']",3
25,40,"['Linux', 'C++', 'Socket']",4
26,43,"['UNIX', 'Github', 'Python', 'MySQL', 'JavaScript', 'Node.js']",0
27,44,"['UNIX', 'PHP', 'Python', 'MySQL', 'JavaScript']",0
28,45,"['Linux', 'UNIX', 'PHP', 'Python', 'MySQL', 'JavaScript']",0
29,46,"['Excel', 'Project', 'Visio', 'Word']",2
30,48,"['Linux', 'C++', 'Socket']",4
31,51,"['MSSQL', 'MySQL', 'JavaScript', 'CSS', 'TCP/IP', 'SAP']",1
32,52,"['iOS', 'Objective-C', 'SWIFT']",3
33,53,"['Android', 'Java', 'Kotlin']",3
34,58,"['Linux', 'Android', 'Java', 'Kotlin', 'Flutter', 'JavaScript']",3
35,59,"['Java', 'Excel', 'Outlook', 'PowerPoint', 'Word']",2
36,61,"['MySQL', 'Oracle', 'OracleERP']",0
37,62,"['C#', 'PHP']",3
38,64,"['Excel', 'Outlook', 'Word']",2
39,65,"['C++', 'Python']",4
40,66,['Git'],3
41,67,"['iOS', 'SWIFT']",3
42,68,"['Git', 'ASP.NET', 'Go', 'AWS']",3
43,69,"['Git', 'HTML', 'Sass', 'Angular']",3
44,71,"['C', 'C#', 'Java', 'MSSQL']",3
45,72,"['C', 'C#', 'Java']",4
46,73,"['WindowsServer2012', 'MSSQL', 'HTML', 'JavaScript', 'Excel', 'PowerPoint', 'Project', 'Word', 'SPSS']",2
47,74,"['Excel', 'Outlook', 'Word']",2
48,75,"['Excel', 'PowerPoint', 'Project', 'Visio']",2
49,76,"['ASP.NET', 'MSSQL', 'JavaScript']",3
50,78,"['MSSQL', 'PowerPoint', 'AxureRP']",3
51,80,"['C++', 'Python']",4
52,82,"['Kotlin', 'JavaScript']",3
53,86,"['OOAD', 'SystemsAnalysis', 'UML', 'ASP.NET', 'Java', 'DataModeling']",3
54,87,"['OOAD', 'SystemsAnalysis', 'UML', 'ASP.NET', 'Java', 'DataModeling']",3
55,88,"['Linux', 'Git', 'C#', 'Java', 'MSSQL', 'MySQL', 'HTML', 'JavaScript', 'jQuery', 'CSS', 'Node.js', 'ReactJS', 'Angular']",1
56,89,"['Linux', 'Excel', 'PowerPoint', 'Word']",2
57,91,"['Tableau', 'GoogleAnalytics', 'GoogleTagManager', 'Firebase', 'PowerBI', 'SAS']",3
58,92,"['MSSQL', 'HTML']",3
59,95,"['OOP', 'C#', 'C++', 'MSSQL']",3
60,96,"['OOP', 'C#', 'C++', 'MFC', 'MySQL']",3
61,97,"['Linux', 'Python', 'Node.js']",0
62,98,"['Linux', 'Python', 'Node.js']",0
63,99,"['Linux', 'AJAX', 'PHP', 'MySQL', 'HTML', 'JavaScript', 'jQuery']",1
64,100,['Java'],3
65,104,"['C#', 'PHP', 'VisualStudio', 'JavaScript', 'Excel', 'PowerPoint', 'Word']",2
66,105,"['PHP', 'MySQL', 'HTML', 'jQuery', 'VueJS']",0
67,108,"['MSSQL', 'PowerPoint', 'AxureRP']",3
68,110,"['C++', 'Python']",4
69,112,"['Kotlin', 'JavaScript']",3
70,116,"['OOAD', 'SystemsAnalysis', 'UML', 'ASP.NET', 'Java', 'DataModeling']",3
71,117,"['OOAD', 'SystemsAnalysis', 'UML', 'ASP.NET', 'Java', 'DataModeling']",3
72,118,"['Linux', 'Git', 'C#', 'Java', 'MSSQL', 'MySQL', 'HTML', 'JavaScript', 'jQuery', 'CSS', 'Node.js', 'ReactJS', 'Angular']",1
73,119,"['Linux', 'Excel', 'PowerPoint', 'Word']",2
