,序號,薪水,學歷要求
0,0,130769,專科
1,1,65000,專科
3,3,230000,不拘
4,4,75000,大學
5,5,40000,專科
6,6,77500,專科
8,8,60000,大學
9,9,45000,大學
10,10,87500,大學
11,11,47500,專科
13,13,60000,大學
14,14,60000,大學
15,15,60000,大學
18,18,87500,大學
20,20,75000,不拘
22,22,80000,大學
24,24,80000,大學
25,25,80000,大學
27,27,100000,大學
30,30,130769,專科
31,31,65000,專科
33,33,230000,不拘
34,34,75000,大學
35,35,40000,專科
36,36,77500,專科
38,38,60000,大學
39,39,45000,大學
40,40,87500,大學
41,41,47500,專科
43,43,60000,大學
44,44,60000,大學
45,45,60000,大學
48,48,87500,大學
52,52,61923,碩士
53,53,61923,碩士
54,54,62500,專科
56,56,37500,專科
59,59,38000,大學
65,65,115384,碩士
66,66,115384,大學
67,67,96153,大學
68,68,115384,大學
69,69,115384,大學
70,70,45000,不拘
75,75,61538,不拘
76,76,55000,專科
79,79,35000,專科
83,83,60000,專科
85,85,80769,大學
86,86,60000,專科
87,87,60000,專科
92,92,60000,大學
95,95,87500,大學
96,96,82500,大學
97,97,60000,不拘
98,98,80000,不拘
100,100,100000,大學
101,101,60000,不拘
109,109,35000,專科
113,113,60000,專科
115,115,80769,大學
116,116,60000,專科
117,117,60000,專科
122,122,60000,大學
125,125,87500,大學
126,126,82500,大學
127,127,60000,不拘
128,128,80000,不拘
130,130,100000,大學
131,131,60000,不拘
139,139,35000,專科
143,143,60000,專科
145,145,80769,大學
146,146,60000,專科
147,147,60000,專科
152,152,60000,大學
155,155,87500,大學
156,156,82500,大學
157,157,60000,不拘
158,158,80000,不拘
160,160,100000,大學
161,161,60000,不拘
169,169,35000,專科
173,173,60000,專科
175,175,80769,大學
176,176,60000,專科
177,177,60000,專科
182,182,60000,大學
185,185,87500,大學
186,186,82500,大學
187,187,60000,不拘
188,188,80000,不拘
190,190,100000,大學
192,192,40000,大學
194,194,77500,專科
195,195,40000,大學
198,198,70000,大學
199,199,78846,專科
202,202,60000,大學
204,204,50000,大學
210,210,50000,大學
218,218,35000,大學
222,222,40000,大學
224,224,77500,專科
225,225,40000,大學
228,228,70000,大學
229,229,78846,專科
232,232,60000,大學
234,234,50000,大學
240,240,50000,大學
248,248,35000,大學
252,252,40000,大學
254,254,77500,專科
255,255,40000,大學
258,258,70000,大學
259,259,78846,專科
262,262,60000,大學
264,264,50000,大學
270,270,50000,大學
278,278,35000,大學
282,282,40000,大學
284,284,77500,專科
285,285,40000,大學
288,288,70000,大學
289,289,78846,專科
292,292,60000,大學
294,294,50000,大學
300,300,50000,大學
308,308,35000,大學
312,312,40000,大學
314,314,77500,專科
315,315,40000,大學
318,318,70000,大學
319,319,78846,專科
322,322,60000,大學
324,324,50000,大學
330,330,50000,大學
338,338,35000,大學
342,342,40000,大學
344,344,77500,專科
345,345,40000,大學
348,348,70000,大學
349,349,78846,專科
350,350,115384,大學
351,351,92307,專科
352,352,269230,大學
354,354,85000,專科
357,357,65000,大學
358,358,50000,專科
367,367,92500,專科
371,371,50000,大學
372,372,95000,專科
374,374,100000,專科
376,376,82500,大學
378,378,50000,專科
380,380,115384,大學
381,381,92307,專科
382,382,269230,大學
384,384,85000,專科
387,387,65000,大學
388,388,50000,專科
397,397,92500,專科
401,401,50000,大學
402,402,95000,專科
404,404,100000,專科
406,406,82500,大學
408,408,50000,專科
410,410,115384,大學
411,411,92307,專科
412,412,269230,大學
414,414,85000,專科
417,417,65000,大學
418,418,50000,專科
422,422,47000,大學
423,423,28000,大學
429,429,125000,專科
433,433,45000,大學
434,434,184615,專科
437,437,60000,大學
441,441,80000,專科
442,442,86500,大學
453,453,40000,專科
455,455,107692,不拘
464,464,45000,大學
465,465,184615,專科
468,468,60000,大學
472,472,80000,專科
473,473,86500,大學
484,484,40000,專科
486,486,107692,不拘
495,495,45000,大學
496,496,184615,專科
499,499,60000,大學
503,503,80000,專科
504,504,86500,大學
515,515,40000,專科
517,517,107692,不拘
526,526,45000,大學
527,527,184615,專科
530,530,60000,大學
534,534,80000,專科
535,535,86500,大學
546,546,40000,專科
548,548,107692,不拘
557,557,45000,大學
558,558,184615,專科
561,561,60000,大學
565,565,80000,專科
566,566,86500,大學
577,577,40000,專科
579,579,107692,不拘
587,587,47500,大學
588,588,80769,不拘
594,594,50000,大學
596,596,50000,大學
609,609,85000,大學
612,612,40000,大學
613,613,87500,大學
616,616,60000,大學
617,617,80000,專科
619,619,95000,大學
620,620,40000,專科
640,640,85000,大學
643,643,40000,大學
644,644,87500,大學
647,647,60000,大學
648,648,80000,專科
650,650,95000,大學
651,651,40000,專科
671,671,85000,大學
674,674,40000,大學
675,675,87500,大學
678,678,60000,大學
679,679,80000,專科
681,681,95000,大學
682,682,40000,專科
702,702,85000,大學
705,705,40000,大學
706,706,87500,大學
709,709,60000,大學
710,710,80000,專科
712,712,95000,大學
713,713,40000,專科
733,733,85000,大學
736,736,40000,大學
737,737,87500,大學
740,740,60000,大學
741,741,80000,專科
743,743,95000,大學
744,744,40000,專科
764,764,85000,大學
767,767,40000,大學
768,768,87500,大學
771,771,60000,大學
772,772,80000,專科
