,salary,tool
0,130769,Git
0,130769,C++
0,130769,Java
0,130769,HTML
0,130769,JavaScript
0,130769,jQuery
0,130769,CSS
0,130769,Sass
0,130769,VueJS
0,130769,Angular
1,65000,C
1,65000,C++
1,65000,DirectX
3,230000,
4,75000,
5,40000,
6,77500,Java
6,77500,JSP
6,77500,Spring
6,77500,Struts
6,77500,MSSQL
6,77500,MySQL
6,77500,WebLogic
6,77500,J2EE
6,77500,JavaScript
6,77500,XML
6,77500,jQuery
8,60000,UNIX
8,60000,Github
8,60000,Python
8,60000,MySQL
8,60000,JavaScript
8,60000,Node.js
9,45000,Windows10
9,45000,WindowsServer2019
9,45000,ASP
9,45000,ASP.NET
9,45000,C#
9,45000,Java
9,45000,JSP
9,45000,JDBC
9,45000,MSSQL
9,45000,Tomcat
9,45000,IIS
9,45000,Visio
9,45000,Word
10,87500,Linux
10,87500,C++
10,87500,Socket
11,47500,
13,60000,UNIX
13,60000,Github
13,60000,Python
13,60000,MySQL
13,60000,JavaScript
13,60000,Node.js
14,60000,UNIX
14,60000,PHP
14,60000,Python
14,60000,MySQL
14,60000,JavaScript
15,60000,Linux
15,60000,UNIX
15,60000,PHP
15,60000,Python
15,60000,MySQL
15,60000,JavaScript
18,87500,Linux
18,87500,C++
18,87500,Socket
20,75000,
22,80000,Git
22,80000,C#
22,80000,Java
22,80000,Python
22,80000,Node.js
24,80000,AWS
24,80000,HTML
24,80000,JavaScript
24,80000,CSS
24,80000,Node.js
24,80000,VueJS
24,80000,Angular
25,80000,Git
25,80000,Python
25,80000,AWS
25,80000,Node.js
27,100000,Linux
27,100000,C++
27,100000,Socket
30,130769,Git
30,130769,C++
30,130769,Java
30,130769,HTML
30,130769,JavaScript
30,130769,jQuery
30,130769,CSS
30,130769,Sass
30,130769,VueJS
30,130769,Angular
31,65000,C
31,65000,C++
31,65000,DirectX
33,230000,
34,75000,
35,40000,
36,77500,Java
36,77500,JSP
36,77500,Spring
36,77500,Struts
36,77500,MSSQL
36,77500,MySQL
36,77500,WebLogic
36,77500,J2EE
36,77500,JavaScript
36,77500,XML
36,77500,jQuery
38,60000,UNIX
38,60000,Github
