,工作經歷,薪水
0,5-10年,130769
1,3-5年,65000
3,0-1年,230000
4,1-3年,75000
5,5-10年,40000
6,1-3年,77500
8,3-5年,60000
9,3-5年,45000
10,0-1年,87500
11,3-5年,47500
13,3-5年,60000
14,3-5年,60000
15,3-5年,60000
18,0-1年,87500
20,1-3年,75000
22,3-5年,80000
24,3-5年,80000
25,3-5年,80000
27,5-10年,100000
30,5-10年,130769
31,3-5年,65000
33,0-1年,230000
34,1-3年,75000
35,5-10年,40000
36,1-3年,77500
38,3-5年,60000
39,3-5年,45000
40,0-1年,87500
41,3-5年,47500
43,3-5年,60000
44,3-5年,60000
45,3-5年,60000
48,0-1年,87500
52,3-5年,61923
53,3-5年,61923
54,3-5年,62500
56,1-3年,37500
59,0-1年,38000
65,1-3年,115384
66,3-5年,115384
67,3-5年,96153
68,3-5年,115384
69,3-5年,115384
70,0-1年,45000
75,0-1年,61538
76,3-5年,55000
79,0-1年,35000
83,1-3年,60000
85,3-5年,80769
86,3-5年,60000
87,3-5年,60000
92,5-10年,60000
95,10年以上,87500
96,5-10年,82500
97,0-1年,60000
98,0-1年,80000
100,0-1年,100000
101,0-1年,60000
109,0-1年,35000
113,1-3年,60000
115,3-5年,80769
116,3-5年,60000
117,3-5年,60000
122,5-10年,60000
125,10年以上,87500
126,5-10年,82500
127,0-1年,60000
128,0-1年,80000
130,0-1年,100000
131,0-1年,60000
139,0-1年,35000
143,1-3年,60000
145,3-5年,80769
146,3-5年,60000
147,3-5年,60000
152,5-10年,60000
155,10年以上,87500
156,5-10年,82500
157,0-1年,60000
158,0-1年,80000
160,0-1年,100000
161,0-1年,60000
169,0-1年,35000
173,1-3年,60000
175,3-5年,80769
176,3-5年,60000
177,3-5年,60000
182,5-10年,60000
185,10年以上,87500
186,5-10年,82500
187,0-1年,60000
188,0-1年,80000
190,0-1年,100000
192,0-1年,40000
194,3-5年,77500
195,0-1年,40000
198,0-1年,70000
199,3-5年,78846
202,0-1年,60000
204,1-3年,50000
210,1-3年,50000
218,1-3年,35000
222,0-1年,40000
224,3-5年,77500
225,0-1年,40000
228,0-1年,70000
229,3-5年,78846
232,0-1年,60000
234,1-3年,50000
240,1-3年,50000
248,1-3年,35000
252,0-1年,40000
254,3-5年,77500
255,0-1年,40000
258,0-1年,70000
259,3-5年,78846
262,0-1年,60000
264,1-3年,50000
270,1-3年,50000
278,1-3年,35000
282,0-1年,40000
284,3-5年,77500
285,0-1年,40000
288,0-1年,70000
289,3-5年,78846
292,0-1年,60000
294,1-3年,50000
300,1-3年,50000
308,1-3年,35000
312,0-1年,40000
314,3-5年,77500
315,0-1年,40000
318,0-1年,70000
319,3-5年,78846
322,0-1年,60000
324,1-3年,50000
330,1-3年,50000
338,1-3年,35000
342,0-1年,40000
344,3-5年,77500
345,0-1年,40000
348,0-1年,70000
349,3-5年,78846
350,5-10年,115384
351,5-10年,92307
352,5-10年,269230
354,3-5年,85000
357,5-10年,65000
358,1-3年,50000
367,3-5年,92500
371,0-1年,50000
372,3-5年,95000
374,1-3年,100000
376,0-1年,82500
378,1-3年,50000
380,5-10年,115384
381,5-10年,92307
382,5-10年,269230
384,3-5年,85000
387,5-10年,65000
388,1-3年,50000
397,3-5年,92500
401,0-1年,50000
402,3-5年,95000
404,1-3年,100000
406,0-1年,82500
408,1-3年,50000
410,5-10年,115384
411,5-10年,92307
412,5-10年,269230
414,3-5年,85000
417,5-10年,65000
418,1-3年,50000
422,0-1年,47000
423,0-1年,28000
429,3-5年,125000
433,1-3年,45000
434,5-10年,184615
437,3-5年,60000
441,3-5年,80000
442,3-5年,86500
453,0-1年,40000
455,1-3年,107692
464,1-3年,45000
465,5-10年,184615
468,3-5年,60000
472,3-5年,80000
473,3-5年,86500
484,0-1年,40000
486,1-3年,107692
495,1-3年,45000
496,5-10年,184615
499,3-5年,60000
503,3-5年,80000
504,3-5年,86500
515,0-1年,40000
517,1-3年,107692
526,1-3年,45000
527,5-10年,184615
530,3-5年,60000
534,3-5年,80000
535,3-5年,86500
546,0-1年,40000
548,1-3年,107692
557,1-3年,45000
558,5-10年,184615
561,3-5年,60000
565,3-5年,80000
566,3-5年,86500
577,0-1年,40000
579,1-3年,107692
587,0-1年,47500
588,3-5年,80769
594,1-3年,50000
596,0-1年,50000
609,3-5年,85000
612,1-3年,40000
613,1-3年,87500
616,1-3年,60000
617,5-10年,80000
619,3-5年,95000
620,0-1年,40000
640,3-5年,85000
643,1-3年,40000
644,1-3年,87500
647,1-3年,60000
648,5-10年,80000
650,3-5年,95000
651,0-1年,40000
671,3-5年,85000
674,1-3年,40000
675,1-3年,87500
678,1-3年,60000
679,5-10年,80000
681,3-5年,95000
682,0-1年,40000
702,3-5年,85000
705,1-3年,40000
706,1-3年,87500
709,1-3年,60000
710,5-10年,80000
712,3-5年,95000
713,0-1年,40000
733,3-5年,85000
736,1-3年,40000
737,1-3年,87500
740,1-3年,60000
741,5-10年,80000
743,3-5年,95000
744,0-1年,40000
764,3-5年,85000
767,1-3年,40000
768,1-3年,87500
771,1-3年,60000
772,5-10年,80000
774,3-5年,95000
775,0-1年,40000
795,3-5年,85000
798,1-3年,40000
799,1-3年,87500
802,1-3年,60000
803,5-10年,80000
805,3-5年,95000
806,0-1年,40000
